"","X","coefficients","r_squared","p_value","gene","p_adj"
"271",271,0.0420752380857247,0.0396770232304593,3.61319089939607e-07,"FAU",4.02650793954839e-07
"272",272,0.0556822460509404,0.0394065024378349,3.96661592673866e-07,"UBASH3B",4.40411033042307e-07
"273",273,0.0657242109807144,0.0392327361588236,4.2116531991079e-07,"MAGED1",4.65904493088127e-07
"274",274,0.0548458137344267,0.0379624556962818,6.5273129422218e-07,"PLPPR4",7.19433762244885e-07
"275",275,0.0449766941120113,0.0373259022998924,8.12970473349314e-07,"FAM19A5",8.92789392550883e-07
"276",276,0.0561165307427958,0.0371191598401885,8.73048687530698e-07,"ZNF518A",9.55292404471996e-07
"277",277,0.0315916056243337,0.0366593249032757,1.02307101798125e-06,"PLPPR2",1.11540594740194e-06
"278",278,0.0490329131339412,0.0365279139689204,1.07049878903993e-06,"RAPH1",1.16291595068367e-06
"279",279,0.0484679087498379,0.0362917482161241,1.16132704556835e-06,"ATP1B2",1.25706368373348e-06
"280",280,0.127254100407489,0.0356948633599226,1.4267340827722e-06,"MYO16",1.53883461784716e-06
"281",281,0.039758329254676,0.0355490852038437,1.50028705428929e-06,"CALY",1.61240815087319e-06
"282",282,0.0445028895131966,0.0354144464633256,1.57158351521835e-06,"ANAPC5",1.6830433389927e-06
"283",283,0.125956457748225,0.0349713991790541,1.83099465704339e-06,"SLIT2",1.9539236269509e-06
"284",284,0.0480557725772664,0.0347590385628491,1.9701073350054e-06,"DMXL1",2.09497329285785e-06
"285",285,0.0421047694447712,0.0347345359859219,1.98682388807463e-06,"FAM169A",2.10272387806429e-06
"286",286,0.0674882753990312,0.0347279790371591,1.99132128849797e-06,"PDE8B",2.10272387806429e-06
"287",287,0.106792342866026,0.0336986247306842,2.8398901476583e-06,"FLRT2",2.98831646199584e-06
"288",288,0.236405043434982,0.0333275582965735,3.22758302397502e-06,"NXPH1",3.38447942097381e-06
"289",289,0.0961189279942947,0.0332925618530928,3.26677396956237e-06,"ALK",3.41372227961189e-06
"290",290,0.0524524707976111,0.0330174488878829,3.59191087666006e-06,"SH3KBP1",3.74054167155634e-06
"291",291,0.0353763967138544,0.0322741423905953,4.64159327936577e-06,"RP11.159G9.5",4.81704869542427e-06
"292",292,0.0373971233850578,0.0316800563583021,5.69728790295312e-06,"AMD1",5.89240050236932e-06
"293",293,0.0330151908442362,0.0312656440076802,6.57293669382014e-06,"SPG20",6.7748357731525e-06
"294",294,0.0475845736866037,0.0302532304679192,9.32138321923743e-06,"ANO5",9.57502630003301e-06
"295",295,0.0380854646216491,0.0293122207286388,1.28988020441298e-05,"SYT17",1.32048753129736e-05
"296",296,0.424907616788922,0.0251694343900155,5.40094421352616e-05,"GRIK1",5.51042281244899e-05
"297",297,0.0355514134446723,0.0231380967356317,0.000109192816568072,"NRSN1",0.000111031079473258
"298",298,0.110880698955154,0.0227812044701888,0.000123589191975905,"ZNF804B",0.000125248107304441
"299",299,0.0371873638788916,0.0207235386711028,0.00025270329972016,"SET",0.000255238784332737
"300",300,0.0815230537857243,0.0206033504908026,0.000263503207773487,"SST",0.00026525989582531
"301",301,0.129304358437738,0.0197731480194915,0.00035191482558064,"IL1RAPL2",0.000353083977825094
"302",302,0.0205894372408677,0.00883357362257953,0.0172164438553533,"ACVR2A",0.0172164438553533
