"","X","coefficients","r_squared","p_value","gene","p_adj"
"64",64,0.10497225572246,0.0991770496348972,3.01408027987607e-16,"RPL27A",1.42226913206652e-15
"65",65,0.112458020955973,0.0988103955216185,3.43945288189775e-16,"SERINC1",1.59802272358942e-15
"66",66,0.29589249195596,0.098475601423506,3.87993328311175e-16,"RP11.384F7.2",1.77056663349713e-15
"67",67,0.117375426521852,0.098441333011667,3.92807829285787e-16,"RASA1",1.77056663349713e-15
"68",68,0.133166017917717,0.0979499842211577,4.68764452407205e-16,"TSC22D1",2.08186565627906e-15
"69",69,0.0664772606363921,0.0974765905510375,5.55762885503532e-16,"RIC3",2.43246944089952e-15
"70",70,0.157478577821861,0.0973963377191723,5.72031777719419e-16,"TTC3",2.46790852673235e-15
"71",71,0.110585385364692,0.0971410285583505,6.27014448386634e-16,"TMEM59L",2.66701920299667e-15
"72",72,0.0672793844622489,0.0968421065233177,6.98121809983115e-16,"PTHLH",2.92823314742918e-15
"73",73,0.121802090385935,0.0959750100640049,9.53205464514746e-16,"RPS8",3.9433979490884e-15
"74",74,0.0866228589221831,0.0957663749174283,1.0273399382782e-15,"SEZ6L2",4.19265758594617e-15
"75",75,0.166465230950426,0.0949748543327883,1.36476935282773e-15,"NR3C2",5.49547126071966e-15
"76",76,0.141552489602138,0.0944541031438433,1.64497484958714e-15,"MAST4",6.53661058651732e-15
"77",77,0.100607694569313,0.0938299590857008,2.05735365094956e-15,"SRP14",8.06910133229568e-15
"78",78,0.169248127255837,0.093441915010835,2.36417898327781e-15,"ANO4",9.14049019743102e-15
"79",79,0.110550642589344,0.0934103538253591,2.39105538277169e-15,"PLD3",9.14049019743102e-15
"80",80,0.0990950809875796,0.093138894022977,2.63517043895419e-15,"OCIAD1",9.94776840705207e-15
"81",81,0.130494298493422,0.0928043807068711,2.97043127184164e-15,"RPL21",1.1074941285138e-14
"82",82,0.107779906255306,0.0924955446789959,3.31759622529348e-15,"HMGN3",1.22184641468126e-14
"83",83,0.143198862868962,0.0924109987574151,3.41949944834624e-15,"LSAMP.AS1",1.24420341373562e-14
"84",84,0.186724611825484,0.0922149778557894,3.6679341847479e-15,"KCNT2",1.31870967118317e-14
"85",85,0.192497558234318,0.0916565630585644,4.47879506852407e-15,"ZNF536",1.59128954199326e-14
"86",86,0.198919325972785,0.0914903899887328,4.75296363573864e-15,"THRB",1.66906397441055e-14
