"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MIR181A1HG",4.60030598750661e-07,-0.709236036346313,0.075,0.176,0.0104049720825424
"TMEM246",4.6260036248362e-07,-0.777990971355742,0.038,0.119,0.0104630949986545
"AMER2",4.71234228463461e-07,1.90941625585875,0.249,0.161,0.0106583757793866
"CTC-575N7.1",4.85715167102169e-07,-1.10093365504468,0.043,0.126,0.0109859056495168
"YPEL3",4.88906713166455e-07,1.59964614445604,0.279,0.184,0.0110580920383989
"TENM1",4.93943316714943e-07,-0.429771559556335,0.159,0.288,0.0111720099374586
"NRG2",4.97192411173941e-07,-0.573114479223025,0.122,0.239,0.0112454979559322
"ZNF540",4.97390715801721e-07,-0.528110494339716,0.088,0.196,0.0112499832100033
"TRAPPC9",5.05291988219727e-07,-0.320814014393075,0.131,0.259,0.0114286941895538
"SYT17",5.06053604205461e-07,-0.313334140707695,0.081,0.187,0.0114459204199191
"STAT4",5.10713129910937e-07,-1.41512739263635,0.039,0.119,0.0115513095723256
"USP9X",5.11401736001669e-07,-0.46318657188959,0.075,0.177,0.0115668844648858
"NOS1AP",5.12409947073197e-07,-0.668392830659743,0.068,0.164,0.0115896881829016
"ZDHHC17",5.18048219879506e-07,-0.254393256784689,0.111,0.23,0.0117172146372347
"RP11-3B12.2",5.18824272340893e-07,-0.504975388668655,0.041,0.124,0.0117347673918063
"LINC01122",5.28451330270381e-07,-0.490428505328456,0.114,0.233,0.0119525121880555
"APOD",5.29325746891818e-07,1.89621465344317,0.299,0.218,0.0119722897431991
"IPO9-AS1",5.3759010710712e-07,-0.424040862433301,0.047,0.132,0.0121592130425488
"NSG1",5.40567274741699e-07,-0.64168943978075,0.057,0.148,0.0122265506201078
"MLH3",5.41732708014054e-07,-0.619882591832417,0.064,0.161,0.0122529103898619
"ITPKB",5.45762496060865e-07,2.51801151028631,0.127,0.051,0.0123440561359047
"GRB2",5.56544334202584e-07,-0.452842449406366,0.054,0.143,0.012587919750994
"RRAS2",5.61993324947021e-07,-1.51022781045881,0.036,0.113,0.0127111650236517
"TP53BP1",5.6258930555721e-07,-0.346010095657482,0.113,0.233,0.012724644913093
"RP11-319G6.1",5.79871685011647e-07,-0.650300707934325,0.082,0.184,0.0131155377715934
"CAPS2",5.87043646429382e-07,-0.66674995014297,0.086,0.189,0.0132777531949398
"SLC25A6",5.91511198840024e-07,-0.526871292267106,0.059,0.152,0.0133788002953637
"PRMT9",5.93493892148711e-07,-0.870625490428401,0.039,0.12,0.0134236448526196
"ARIH1",5.97830293124795e-07,-0.288823704231624,0.161,0.299,0.0135217255698966
"DIAPH1",6.00548005148381e-07,-1.01864146080156,0.038,0.117,0.0135831947804461
"AFF4",6.14469016085362e-07,-0.324692738938076,0.114,0.231,0.0138980602058187
"FBXL2",6.23619054452157e-07,-0.465909515664214,0.109,0.224,0.0141050157735989
"ZSWIM5",6.29832194713673e-07,-0.303799419322287,0.174,0.318,0.0142455445800339
"CLMN",6.33703128788231e-07,2.16642242128926,0.147,0.066,0.0143330973669322
"MARK1",6.40990938510669e-07,-0.579162637034983,0.129,0.249,0.0144979330472343
"RIMBP2",6.52317192150017e-07,-0.387677039442245,0.123,0.247,0.0147541102520491
"EEPD1",6.58754303491322e-07,-0.610309518221439,0.063,0.155,0.0148997048363667
