region,AHNP_count
Cerebral cortex,218145
Amygdala,72256
Basal forebrain,45559
Hippocampus,40870
Hypothalamus,23217
Midbrain,20107
Pons,13042
Thalamus,11359
Medulla,2977
Spinal cord,302
Cerebellum,1
